Names,Heights(cm),Image_Url
Ingrid Sorveig Sorgrims,99,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/5457-1734459719.jpg
Anya Forger,99.5,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/69407-2083890529.jpg
Melissabelle,98,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/36338-1663764678.jpg
Momo Kawamoto,98,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/11498-1772355081.jpg
Febri,98,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/27240-657540061.jpg
Itaru,97,https://ami.animecharactersdatabase.com/./images/crossdays/Itaru_thumb.jpg
Mizuki Amatsuka,96,https://ami.animecharactersdatabase.com/images/2551/Mizuki_thumb.jpg
Bonnie,96.52,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/5457-422570592.jpg
Azusa Ogino,95,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/25380-763887358.jpg
Lunalu,94,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/36338-1409819090.jpg
Sakura Amatsuka,94,https://ami.animecharactersdatabase.com/images/2551/Sakura_thumb.jpg
Arulumaya,91,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/36338-224155518.jpg
Migijiorou,91,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/67712-1574640928.jpg
Diane,915,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/5688-452300940.jpg
Lisa Loud,90,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/71868-325690586.jpg
Amy Rose,90,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/5457-1538746004.jpg
Charlotta Fenia,90,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/36338-1923549784.jpg
Tony Tony Chopper,90,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/69246-1124849910.jpg
Desco,88,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/5688-687158876.jpg
Charlotte Linlin,880,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/38889-1463535704.jpg
Mahira,85,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/36338-1868819617.jpg
Principal Nezu,85,https://ami.animecharactersdatabase.com/uploads/chars/thumbs/200/32812-1405169657.jpg
